Name,Gender,Color1,Race,Color2,Height,Publisher,Color3,Alignment,Weight
Anti-Venom,Male,blue,Symbiote,Blond,229,Marvel Comics,NA,NA,358
Apocalypse,Male,red,Mutant,Black,213,Marvel Comics,grey,bad,135
Aquababy,Male,blue,NA,Blond,-99,DC Comics,NA,good,-99
Aqualad,Male,blue,Atlantean,Black,178,DC Comics,NA,good,106
Aquaman,Male,blue,Atlantean,Blond,185,DC Comics,NA,good,146
Arachne,Female,blue,Human,Blond,175,Marvel Comics,NA,good,63
Archangel,Male,blue,Mutant,Blond,183,Marvel Comics,blue,good,68
Arclight,Female,violet,NA,Purple,173,Marvel Comics,NA,bad,57
Ardina,Female,white,Alien,Orange,193,Marvel Comics,gold,good,98
Ares,Male,brown,NA,Brown,185,Marvel Comics,NA,good,270
Ariel,Female,purple,NA,Pink,165,Marvel Comics,NA,good,59
Armor,Female,black,NA,Black,163,Marvel Comics,NA,good,50
Arsenal,Male,NA,Human,NA,-99,DC Comics,NA,good,-99
Astro Boy,Male,brown,NA,Black,-99,,NA,good,-99
Atlas,Male,brown,Mutant,Red,183,Marvel Comics,NA,good,101
Atlas,Male,blue,God / Eternal,Brown,198,DC Comics,NA,bad,126
Atom,Male,blue,NA,Red,178,DC Comics,NA,good,68
Atom,Male,NA,NA,NA,-99,DC Comics,NA,good,-99
Atom Girl,Female,black,NA,Black,168,DC Comics,NA,good,54
Atom II,Male,brown,Human,Auburn,183,DC Comics,NA,good,81
Atom III,Male,NA,NA,Red,-99,DC Comics,NA,good,-99
Atom IV,Male,brown,NA,Black,-99,DC Comics,NA,good,72
Aurora,Female,blue,Mutant,Black,180,Marvel Comics,NA,good,63
Azazel,Male,yellow,Neyaphem,Black,183,Marvel Comics,red,bad,67
Azrael,Male,brown,Human,Black,-99,DC Comics,NA,good,-99
Aztar,Male,NA,NA,NA,-99,DC Comics,NA,good,-99
Bane,Male,NA,Human,NA,203,DC Comics,NA,bad,180
Banshee,Male,green,Human,Strawberry Blond,183,Marvel Comics,NA,good,77
Bantam,Male,brown,NA,Black,165,Marvel Comics,NA,good,54
Batgirl,Female,NA,NA,NA,-99,DC Comics,NA,good,-99
Batgirl,Female,green,Human,Red,170,DC Comics,NA,good,57
Batgirl III,Female,NA,NA,NA,-99,DC Comics,NA,good,-99
Batgirl IV,Female,green,Human,Black,165,DC Comics,NA,good,52
Batgirl V,Female,NA,NA,NA,-99,DC Comics,NA,good,-99
Batgirl VI,Female,blue,NA,Blond,168,DC Comics,NA,good,61
Batman,Male,blue,Human,black,188,DC Comics,NA,good,95
Batman,Male,blue,Human,Black,178,DC Comics,NA,good,77
Batman II,Male,blue,Human,Black,178,DC Comics,NA,good,79
Battlestar,Male,brown,NA,Black,198,Marvel Comics,NA,good,133
Batwoman V,Female,green,Human,Red,178,DC Comics,NA,good,-99
Beak,Male,black,NA,White,175,Marvel Comics,NA,good,63
Beast,Male,blue,Mutant,Blue,180,Marvel Comics,blue,good,181
Beast Boy,Male,green,Human,Green,173,DC Comics,green,good,68
Beetle,Male,NA,NA,NA,-99,Marvel Comics,NA,bad,-99
Ben 10,Male,NA,NA,NA,-99,DC Comics,NA,good,-99
Beta Ray Bill,Male,NA,NA,No Hair,201,Marvel Comics,NA,good,216
Beyonder,Male,NA,God / Eternal,NA,-99,Marvel Comics,NA,good,-99
Big Barda,Female,blue,New God,Black,188,DC Comics,NA,bad,135
Big Daddy,Male,NA,NA,NA,-99,Icon Comics,NA,good,-99
Big Man,Male,blue,NA,Brown,165,Marvel Comics,NA,bad,71
Bill Harken,Male,NA,Alpha,NA,-99,SyFy,NA,good,-99
Billy Kincaid,Male,NA,NA,NA,-99,Image Comics,NA,bad,-99
Binary,Female,blue,NA,Blond,180,Marvel Comics,NA,good,54
Bionic Woman,Female,blue,Cyborg,Black,-99,,NA,good,-99
Bird-Brain,NA,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Bird-Man,Male,NA,Human,NA,-99,Marvel Comics,NA,bad,-99
Bird-Man II,Male,NA,Human,NA,-99,Marvel Comics,NA,bad,-99
Birdman,Male,NA,God / Eternal,NA,-99,Hanna-Barbera,NA,good,-99
Bishop,Male,brown,Mutant,No Hair,198,Marvel Comics,NA,good,124
Bizarro,Male,black,Bizarro,Black,191,DC Comics,white,neutral,155
Black Abbott,Male,red,NA,Black,-99,Marvel Comics,NA,bad,-99
Black Adam,Male,brown,NA,Black,191,DC Comics,NA,bad,113
Black Bolt,Male,blue,Inhuman,Black,188,Marvel Comics,NA,good,95
Black Canary,Female,blue,Human,Blond,165,DC Comics,NA,good,58
Black Canary,Female,blue,Metahuman,Blond,170,DC Comics,NA,good,59
Black Cat,Female,green,Human,Blond,178,Marvel Comics,NA,good,54
Black Flash,Male,NA,God / Eternal,NA,-99,DC Comics,NA,neutral,-99
Black Goliath,Male,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Black Knight III,Male,brown,Human,Brown,183,Marvel Comics,NA,good,86
Black Lightning,Male,brown,NA,No Hair,185,DC Comics,NA,good,90
Black Mamba,Female,green,NA,Black,170,Marvel Comics,NA,bad,52
Black Manta,Male,black,Human,No Hair,188,DC Comics,NA,bad,92
Black Panther,Male,brown,Human,Black,183,Marvel Comics,NA,good,90
Black Widow,Female,green,Human,Auburn,170,Marvel Comics,NA,good,59
Black Widow II,Female,blue,NA,Blond,170,Marvel Comics,NA,good,61
Blackout,Male,red,Demon,White,191,Marvel Comics,white,bad,104
Blackwing,Male,blue,NA,Black,185,Marvel Comics,NA,bad,86
Blackwulf,Male,red,Alien,White,188,Marvel Comics,NA,NA,88
Blade,Male,brown,Vampire,Black,188,Marvel Comics,NA,good,97
Blaquesmith,NA,black,NA,No Hair,-99,Marvel Comics,NA,good,-99
Bling!,Female,NA,NA,NA,168,Marvel Comics,NA,good,68
Blink,Female,green,Mutant,Magenta,165,Marvel Comics,pink,good,56
Blizzard,Male,NA,NA,NA,-99,Marvel Comics,NA,bad,-99
Blizzard,Male,NA,NA,Brown,-99,Marvel Comics,NA,bad,-99
Blizzard II,Male,brown,NA,Brown,175,Marvel Comics,NA,bad,77
Blob,Male,brown,NA,Brown,178,Marvel Comics,NA,bad,230
Bloodaxe,Female,blue,Human,Brown,218,Marvel Comics,NA,bad,495
Bloodhawk,Male,black,Mutant,No Hair,-99,Marvel Comics,NA,good,-99
Bloodwraith,Male,white,NA,No Hair,30.5,Marvel Comics,NA,bad,-99
Blue Beetle,Male,blue,NA,Brown,-99,DC Comics,NA,good,-99
Blue Beetle,Male,NA,NA,NA,-99,DC Comics,NA,good,-99
Blue Beetle II,Male,blue,NA,Brown,183,DC Comics,NA,good,86
Blue Beetle III,Male,brown,Human,Black,-99,DC Comics,NA,good,-99
Boba Fett,Male,brown,Human / Clone,Black,183,George Lucas,NA,bad,-99
Bolt,Male,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Bomb Queen,Female,NA,NA,NA,-99,Image Comics,NA,bad,-99
Boom-Boom,Female,blue,Mutant,Blond,165,Marvel Comics,NA,good,55
Boomer,Female,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Booster Gold,Male,blue,Human,Blond,196,DC Comics,NA,good,97
Box,Male,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Box III,NA,blue,NA,Blond,193,Marvel Comics,NA,good,110
Box IV,NA,brown,NA,Brown / Black,-99,Marvel Comics,NA,good,-99
Brainiac,Male,green,Android,No Hair,198,DC Comics,green,bad,135
Brainiac 5,Male,green,NA,Blond,170,DC Comics,NA,good,61
Brother Voodoo,Male,brown,Human,Brown / White,183,Marvel Comics,NA,good,99
Brundlefly,Male,NA,Mutant,NA,193,,NA,NA,-99
Buffy,Female,green,Human,Blond,157,Dark Horse Comics,NA,good,52
Bullseye,Male,blue,Human,blond,183,Marvel Comics,NA,bad,90
Bumblebee,Female,brown,Human,Black,170,DC Comics,NA,good,59
Bumbleboy,Male,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Bushido,Male,NA,Human,NA,-99,DC Comics,NA,good,-99
Cable,Male,blue,Mutant,White,203,Marvel Comics,NA,good,158
Callisto,Female,blue,NA,Black,175,Marvel Comics,NA,bad,74
Cameron Hicks,Male,NA,Alpha,NA,-99,SyFy,NA,good,-99
Cannonball,Male,blue,NA,Blond,183,Marvel Comics,NA,good,81
Captain America,Male,blue,Human,blond,188,Marvel Comics,NA,good,108
Captain Atom,Male,blue,Human / Radiation,Silver,193,DC Comics,silver,good,90
Captain Britain,Male,blue,Human,Blond,198,Marvel Comics,NA,good,116
Captain Cold,Male,brown,Human,Brown,-99,DC Comics,NA,neutral,-99
Captain Epic,Male,blue,NA,Brown,188,Team Epic TV,NA,good,-99
Captain Hindsight,Male,NA,Human,Black,-99,South Park,NA,good,-99
Captain Mar-vell,Male,blue,NA,Blond,188,Marvel Comics,NA,good,108
Captain Marvel,Female,blue,Human-Kree,Blond,180,Marvel Comics,NA,good,74
Captain Marvel,Male,blue,Human,Black,193,DC Comics,NA,good,101
Captain Marvel II,Male,blue,Human,Black,175,DC Comics,NA,good,74
Captain Midnight,Male,NA,Human,NA,-99,Dark Horse Comics,NA,good,-99
Captain Planet,Male,red,God / Eternal,Green,-99,Marvel Comics,NA,good,-99
Captain Universe,NA,NA,God / Eternal,NA,-99,Marvel Comics,NA,good,-99
Carnage,Male,green,Symbiote,Red,185,Marvel Comics,NA,bad,86
Cat,Female,blue,NA,Blond,173,Marvel Comics,NA,good,61
Cat II,Female,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Catwoman,Female,green,Human,Black,175,DC Comics,NA,good,61
Cecilia Reyes,NA,brown,NA,Brown,170,Marvel Comics,NA,good,62
Century,Male,white,Alien,White,201,Marvel Comics,grey,good,97
Cerebra,Female,NA,Mutant,NA,-99,Marvel Comics,NA,good,-99
Chamber,Male,brown,Mutant,Brown,175,Marvel Comics,NA,good,63
Chameleon,Male,NA,NA,NA,-99,DC Comics,NA,bad,-99
Changeling,Male,brown,NA,Black,180,Marvel Comics,NA,bad,81
Cheetah,Female,green,Human,Blond,163,DC Comics,NA,bad,50
Cheetah II,Female,green,Human,Brown,170,DC Comics,NA,bad,55
Cheetah III,Female,brown,Human,Brown,175,DC Comics,NA,bad,54
Chromos,Male,brown,NA,Red / Grey,185,Team Epic TV,NA,bad,86
Chuck Norris,Male,NA,NA,NA,178,,NA,good,-99
Citizen Steel,Male,green,Human,Red,183,DC Comics,NA,good,170
Claire Bennet,Female,blue,NA,Blond,-99,NBC - Heroes,NA,good,-99
Clea,NA,NA,NA,White,-99,Marvel Comics,NA,good,-99
Cloak,Male,brown,NA,black,226,Marvel Comics,NA,good,70
Clock King,Male,blue,Human,Black,178,DC Comics,NA,bad,78
Cogliostro,Male,NA,NA,NA,-99,Image Comics,NA,bad,-99
Colin Wagner,Male,grey,NA,Brown,-99,HarperCollins,NA,good,-99
Colossal Boy,Male,NA,NA,NA,-99,DC Comics,NA,good,-99
Colossus,Male,silver,Mutant,Black,226,Marvel Comics,NA,good,225
Copycat,Female,red,Mutant,White,183,Marvel Comics,blue,neutral,67
Corsair,Male,brown,NA,Brown,191,Marvel Comics,NA,good,79
Cottonmouth,Male,brown,Human,Black,183,Marvel Comics,NA,bad,99
Crimson Crusader,Male,blue,NA,Strawberry Blond,-99,Marvel Comics,NA,good,-99
Crimson Dynamo,Male,brown,NA,No Hair,180,Marvel Comics,NA,good,104
Crystal,Female,green,Inhuman,Red,168,Marvel Comics,NA,good,50
Curse,Male,NA,NA,NA,-99,Image Comics,NA,bad,-99
Cy-Gor,Male,NA,NA,NA,-99,Image Comics,NA,bad,-99
Cyborg,Male,brown,Cyborg,Black,198,DC Comics,NA,good,173
Cyborg Superman,Male,blue,Cyborg,Black,-99,DC Comics,NA,bad,-99
Cyclops,Male,brown,Mutant,Brown,191,Marvel Comics,NA,good,88
Cypher,NA,blue,NA,Blond,175,Marvel Comics,NA,good,68
Dagger,Female,blue,NA,Blond,165,Marvel Comics,NA,good,52
Danny Cooper,Male,brown,NA,Blond,-99,HarperCollins,NA,good,-99
Daphne Powell,Female,NA,NA,NA,-99,ABC Studios,NA,good,-99
Daredevil,Male,blue,Human,Red,183,Marvel Comics,NA,good,90
Darkhawk,Male,brown,Human,Brown,185,Marvel Comics,NA,good,81
Darkman,Male,NA,NA,NA,-99,Universal Studios,NA,good,-99
Darkseid,Male,red,New God,No Hair,267,DC Comics,grey,bad,817
Darkside,NA,NA,NA,NA,-99,,NA,bad,-99
Darkstar,Female,brown,Mutant,Blond,168,Marvel Comics,NA,good,56
Darth Maul,Male,yellow / red,Dathomirian Zabrak,NA,170,George Lucas,red / black,bad,-99
Darth Vader,Male,yellow,Cyborg,No Hair,198,George Lucas,NA,bad,135
Dash,Male,blue,Human,Blond,122,Dark Horse Comics,NA,good,27
Data,Male,yellow,Android,Brown,-99,Star Trek,NA,good,-99
Dazzler,Female,blue,Mutant,Blond,173,Marvel Comics,NA,good,52
Deadman,Male,blue,Human,Black,183,DC Comics,NA,good,90
Deadpool,Male,brown,Mutant,No Hair,188,Marvel Comics,NA,neutral,95
Deadshot,Male,brown,Human,Brown,185,DC Comics,NA,bad,91
Deathlok,Male,brown,Cyborg,Grey,193,Marvel Comics,NA,good,178
Deathstroke,Male,blue,Human,White,193,DC Comics,NA,neutral,101
Demogoblin,Male,red,Demon,No Hair,185,Marvel Comics,NA,bad,95
Destroyer,Male,NA,NA,NA,188,Marvel Comics,NA,bad,383
Diamondback,Male,brown,Human,Black,193,Marvel Comics,NA,bad,90
DL Hawkins,Male,NA,NA,NA,-99,NBC - Heroes,NA,good,-99
Doc Samson,Male,blue,Human / Radiation,Green,198,Marvel Comics,NA,good,171
Doctor Doom,Male,brown,Human,Brown,201,Marvel Comics,NA,bad,187
Doctor Doom II,Male,brown,NA,Brown,201,Marvel Comics,NA,bad,132
Doctor Fate,Male,blue,Human,Blond,188,DC Comics,NA,good,89
Doctor Octopus,Male,brown,Human,Brown,175,Marvel Comics,NA,bad,110
Doctor Strange,Male,grey,Human,Black,188,Marvel Comics,NA,good,81
Domino,Female,blue,Human,Black,173,Marvel Comics,white,good,54
Donatello,Male,green,Mutant,No Hair,-99,IDW Publishing,green,good,-99
Donna Troy,Female,blue,Amazon,Black,175,DC Comics,NA,good,63
Doomsday,Male,red,Alien,White,244,DC Comics,NA,bad,412
Doppelganger,Male,white,NA,No Hair,196,Marvel Comics,NA,bad,104
Dormammu,Male,yellow,NA,No Hair,185,Marvel Comics,NA,bad,-99
Dr Manhattan,Male,white,Human / Cosmic,No Hair,-99,DC Comics,blue,good,-99
Drax the Destroyer,Male,red,Human / Altered,No Hair,193,Marvel Comics,green,good,306
Ego,NA,NA,NA,NA,-99,Marvel Comics,NA,bad,-99
Elastigirl,Female,brown,Human,Brown,168,Dark Horse Comics,NA,good,56
Electro,Male,blue,Human,Auburn,180,Marvel Comics,NA,bad,74
Elektra,Female,blue,Human,Black,175,Marvel Comics,NA,good,59
Elle Bishop,Female,blue,NA,Blond,-99,NBC - Heroes,NA,bad,-99
Elongated Man,Male,blue,NA,Red,185,DC Comics,NA,good,80
Emma Frost,Female,blue,NA,Blond,178,Marvel Comics,NA,good,65
Enchantress,Female,blue,Human,Blond,168,DC Comics,NA,good,57
Energy,Female,NA,NA,NA,-99,HarperCollins,NA,good,-99
ERG-1,Male,NA,NA,NA,-99,DC Comics,NA,good,-99
Ethan Hunt,Male,brown,Human,Brown,168,,NA,good,-99
Etrigan,Male,red,Demon,No Hair,193,DC Comics,yellow,neutral,203
Evil Deadpool,Male,white,Mutant,Red,188,Marvel Comics,NA,bad,95
Evilhawk,Male,red,Alien,Black,191,Marvel Comics,green,bad,106
Exodus,Male,blue,Mutant,Black,183,Marvel Comics,red,bad,88
Fabian Cortez,NA,blue,NA,Brown,196,Marvel Comics,NA,bad,96
Falcon,Male,brown,Human,Black,188,Marvel Comics,NA,good,108
Fallen One II,Male,black,NA,Blue,-99,Marvel Comics,NA,bad,-99
Faora,Female,NA,Kryptonian,NA,-99,DC Comics,NA,bad,-99
Feral,NA,yellow (without irises),NA,Orange / White,175,Marvel Comics,NA,good,50
Fighting Spirit,Female,NA,NA,Red,-99,DC Comics,NA,good,-99
Fin Fang Foom,Male,red,Kakarantharaian,No Hair,975,Marvel Comics,green,good,18
Firebird,Female,brown,NA,Black,165,Marvel Comics,NA,good,56
Firelord,NA,white,NA,Yellow,193,Marvel Comics,NA,good,99
Firestar,Female,green,Mutant,Red,173,Marvel Comics,NA,good,56
Firestorm,Male,brown,NA,Black,-99,DC Comics,NA,good,-99
Firestorm,Male,blue,Human,Auburn,188,DC Comics,NA,good,91
Fixer,NA,red,NA,No Hair,-99,Marvel Comics,NA,bad,-99
Flash,Male,blue,Human,Brown / White,180,DC Comics,NA,good,81
Flash Gordon,Male,NA,NA,NA,-99,,NA,good,-99
Flash II,Male,blue,Human,Blond,183,DC Comics,NA,good,88
Flash III,Male,NA,Human,NA,183,DC Comics,NA,good,86
Flash IV,Male,yellow,Human,Auburn,157,DC Comics,NA,good,52
Forge,NA,brown,NA,Black,183,Marvel Comics,NA,good,81
Franklin Richards,Male,blue,Mutant,Blond,142,Marvel Comics,NA,good,45
Franklin Storm,NA,blue,NA,Grey,188,Marvel Comics,NA,good,92
Frenzy,Female,brown,NA,Black,211,Marvel Comics,NA,bad,104
Frigga,Female,blue,NA,White,180,Marvel Comics,NA,good,167
Galactus,Male,black,Cosmic Entity,Black,876,Marvel Comics,NA,neutral,16
Gambit,Male,red,Mutant,Brown,185,Marvel Comics,NA,good,81
Gamora,Female,yellow,Zen-Whoberian,Black,183,Marvel Comics,green,good,77
Garbage Man,Male,NA,Mutant,NA,-99,DC Comics,NA,good,-99
Gary Bell,Male,NA,Alpha,NA,-99,SyFy,NA,good,-99
General Zod,Male,black,Kryptonian,Black,-99,DC Comics,NA,bad,-99
Genesis,Male,blue,NA,Blond,185,Marvel Comics,NA,good,86
Ghost Rider,Male,red,Demon,No Hair,188,Marvel Comics,NA,good,99
Ghost Rider II,NA,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Giant-Man,Male,NA,Human,NA,-99,Marvel Comics,NA,good,-99
Giant-Man II,Male,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Giganta,Female,green,NA,Red,62.5,DC Comics,NA,bad,630
Gladiator,Male,blue,Strontian,Blue,198,Marvel Comics,purple,neutral,268
Goblin Queen,Female,green,NA,Red,168,Marvel Comics,NA,bad,50
Godzilla,NA,NA,Kaiju,NA,108,,grey,bad,
Gog,Male,NA,NA,NA,-99,DC Comics,NA,bad,-99
Goku,Male,NA,Saiyan,NA,175,Shueisha,NA,good,62
Goliath,Male,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Goliath,Male,NA,Human,NA,-99,Marvel Comics,NA,good,-99
Goliath,Male,NA,Human,NA,-99,Marvel Comics,NA,good,-99
Goliath IV,Male,brown,NA,Black,183,Marvel Comics,NA,good,90
Gorilla Grodd,Male,yellow,Gorilla,Black,198,DC Comics,NA,bad,270
Granny Goodness,Female,blue,NA,White,178,DC Comics,NA,bad,115
Gravity,Male,blue,Human,Brown,178,Marvel Comics,NA,good,79
Greedo,Male,purple,Rodian,NA,170,George Lucas,green,bad,-99
Green Arrow,Male,green,Human,Blond,188,DC Comics,NA,good,88
Green Goblin,Male,blue,Human,Auburn,180,Marvel Comics,NA,bad,83
Green Goblin II,Male,blue,NA,Auburn,178,Marvel Comics,NA,bad,77
Green Goblin III,Male,NA,NA,NA,183,Marvel Comics,NA,good,88
Green Goblin IV,Male,green,NA,Brown,178,Marvel Comics,NA,good,79
Groot,Male,yellow,Flora Colossus,NA,701,Marvel Comics,NA,good,4
Guardian,Male,brown,Human,Black,-99,Marvel Comics,NA,good,-99
Guy Gardner,Male,blue,Human-Vuldarian,Red,188,DC Comics,NA,good,95
Hal Jordan,Male,brown,Human,Brown,188,DC Comics,NA,good,90
Han Solo,Male,brown,Human,Brown,183,George Lucas,NA,good,79
Hancock,Male,brown,Human,Black,188,Sony Pictures,NA,good,-99
Harley Quinn,Female,blue,Human,Blond,170,DC Comics,NA,bad,63
Harry Potter,Male,green,Human,Black,-99,J. K. Rowling,NA,good,-99
Havok,Male,blue,Mutant,Blond,183,Marvel Comics,NA,good,79
Hawk,Male,red,NA,Brown,185,DC Comics,NA,good,89
Hawkeye,Male,blue,Human,Blond,191,Marvel Comics,NA,good,104
Hawkeye II,Female,blue,Human,Black,165,Marvel Comics,NA,good,57
Hawkgirl,Female,green,NA,Red,175,DC Comics,NA,good,61
Hawkman,Male,blue,NA,Brown,185,DC Comics,NA,good,88
Hawkwoman,Female,green,NA,Red,175,DC Comics,NA,good,54
Hawkwoman II,Female,NA,NA,NA,-99,DC Comics,NA,good,-99
Hawkwoman III,Female,blue,NA,Red,170,DC Comics,NA,good,65
Heat Wave,Male,blue,Human,No Hair,180,DC Comics,NA,bad,81
Hela,Female,green,Asgardian,Black,213,Marvel Comics,NA,bad,225
Hellboy,Male,gold,Demon,Black,259,Dark Horse Comics,NA,good,158
Hellcat,Female,blue,Human,Red,173,Marvel Comics,NA,good,61
Hellstorm,Male,red,NA,Red,185,Marvel Comics,NA,good,81
Hercules,Male,blue,Demi-God,Brown,196,Marvel Comics,NA,good,146
Hiro Nakamura,Male,NA,NA,NA,-99,NBC - Heroes,NA,good,-99
Hit-Girl,Female,NA,Human,NA,-99,Icon Comics,NA,good,-99
Hobgoblin,Male,blue,NA,Grey,180,Marvel Comics,NA,bad,83
Hollow,Female,blue,NA,Red,170,Marvel Comics,NA,good,-99
Hope Summers,Female,green,NA,Red,168,Marvel Comics,NA,good,48
Howard the Duck,Male,brown,NA,Yellow,79,Marvel Comics,NA,good,18
Hulk,Male,green,Human / Radiation,Green,244,Marvel Comics,green,good,630
Human Torch,Male,blue,Human / Radiation,Blond,178,Marvel Comics,NA,good,77
Huntress,Female,blue,NA,Black,180,DC Comics,NA,good,59
Husk,Female,blue,Mutant,Blond,170,Marvel Comics,NA,good,58
Hybrid,Male,brown,Symbiote,Black,175,Marvel Comics,NA,good,77
Hydro-Man,Male,brown,NA,Brown,188,Marvel Comics,NA,bad,119
Hyperion,Male,blue,Eternal,Red,183,Marvel Comics,NA,good,207
Iceman,Male,brown,Mutant,Brown,173,Marvel Comics,NA,good,65
Impulse,Male,yellow,Human,Auburn,170,DC Comics,NA,good,65
Indiana Jones,Male,NA,Human,NA,183,George Lucas,NA,good,79
Indigo,Female,NA,Alien,Purple,-99,DC Comics,NA,neutral,-99
Ink,Male,blue,Mutant,No Hair,180,Marvel Comics,NA,good,81
Invisible Woman,Female,blue,Human / Radiation,Blond,168,Marvel Comics,NA,good,54
Iron Fist,Male,blue,Human,Blond,180,Marvel Comics,NA,good,79
Iron Man,Male,blue,Human,Black,198,Marvel Comics,NA,good,191
Iron Monger,Male,blue,NA,No Hair,-99,Marvel Comics,NA,bad,2
Isis,Female,NA,NA,NA,-99,DC Comics,NA,good,-99
Jack Bauer,Male,NA,NA,NA,-99,,NA,good,-99
Jack of Hearts,Male,blue / white,Human,Brown,155,Marvel Comics,NA,good,79
Jack-Jack,Male,blue,Human,Brown,71,Dark Horse Comics,NA,good,14
James Bond,Male,blue,Human,Blond,183,Titan Books,NA,good,-99
James T. Kirk,Male,hazel,Human,Brown,178,Star Trek,NA,good,77
Jar Jar Binks,Male,yellow,Gungan,NA,193,George Lucas,orange / white,good,-99
Jason Bourne,Male,NA,Human,NA,-99,,NA,good,-99
Jean Grey,Female,green,Mutant,Red,168,Marvel Comics,NA,good,52
Jean-Luc Picard,Male,NA,Human,NA,-99,Star Trek,NA,good,-99
Jennifer Kale,Female,blue,NA,Blond,168,Marvel Comics,NA,good,55
Jesse Quick,Female,NA,Human,NA,-99,DC Comics,NA,good,-99
Jessica Cruz,Female,green,Human,Brown,-99,DC Comics,NA,good,-99
Jessica Jones,Female,brown,Human,Brown,170,Marvel Comics,NA,good,56
Jessica Sanders,Female,NA,NA,NA,-99,NBC - Heroes,NA,good,-99
Jigsaw,Male,blue,NA,Black,188,Marvel Comics,NA,bad,113
Jim Powell,Male,NA,NA,NA,-99,ABC Studios,NA,good,-99
JJ Powell,Male,NA,NA,NA,-99,ABC Studios,NA,good,-99
Johann Krauss,Male,NA,NA,NA,-99,Dark Horse Comics,NA,good,-99
John Constantine,Male,blue,Human,Blond,183,DC Comics,NA,good,-99
John Stewart,Male,green,Human,Black,185,DC Comics,NA,good,90
John Wraith,Male,brown,NA,Black,183,Marvel Comics,NA,good,88
Joker,Male,green,Human,Green,196,DC Comics,white,bad,86
Jolt,Female,blue,NA,Black,165,Marvel Comics,NA,good,49
Jubilee,Female,red,Mutant,Black,165,Marvel Comics,NA,good,52
Judge Dredd,Male,NA,Human,NA,188,Rebellion,NA,good,-99
Juggernaut,Male,blue,Human,Red,287,Marvel Comics,NA,neutral,855
Junkpile,Male,NA,Mutant,NA,-99,Marvel Comics,NA,bad,-99
Justice,Male,hazel,Human,Brown,178,Marvel Comics,NA,good,81
Jyn Erso,Female,green,Human,Brown,-99,George Lucas,NA,good,-99
K-2SO,Male,white,Android,No Hair,213,George Lucas,gray,good,-99
